"id";"titre";"technologies";"description";"url";"est_expose_galerie";"diplome_id";"cours_id"
"1";"Projet OFF ";"<abbr title ="" Structured Query Language"">MySQL</abbr>, <abbr title =""Hypertext Preprocessor"">Php</abbr>, <abbr title =""Hypertext Markup Language"">HTML</abbr>, <abbr title =""Cascading Style Sheet"">CSS</abbr>, <abbr title =""e bibliothèque JavaScript libre et multiplateforme créée pour faciliter l'écriture""> jQuery </abbr>";"<p>Nous avons eu comme mandat de faire notre propre version du  <a href=""https://quebecoff.org/"">Festival OFF</a>. Le but du projet était de nous faire explorer le <abbr title =""Structured Query Language"">MySQL</abbr> et le langage de programmation <abbr title =""Hypertext Preprocessor"">Php</abbr> ainsi que nous aider a bonifier nos connaissances en <abbr title =""Hypertext Markup Language"">HTML</abbr>, <abbr title =""Cascading Style Sheet"">CSS</abbr> et  en <abbr title =""la bibliothèque JavaScript libre et multiplateforme créée pour faciliter l'écriture""> jQuery </abbr> une librairie du JavaScript</p>";;"0";"55";"17"
"2";"La Pastèque";"<abbr title=""Cascading Style Sheets"">CSS</abbr>, <abbr title=""Hypertext Markup Language"">HTML</abbr>,  <abbr title=""Hypertext Preprocessor"">PHP</abbr>, <abbr title=""Structured Query Language"">SQL</abbr>, JavaScript, Figma et Axure. ";"<p> Nous avons reçu comme mandat de faire une refonte du site web des éditeurs La Pastèque, commençant par le design et en allant jusqu'au site final fonctionnel. Le public cible était n'importe quelle personne qui souhaitait acheter un livre ici au Québec, de notre côté il fallait rendre ce processus le plus simple et facile d'accès possible. Moi et mes coéquipières, <a href=""#"">Élodie Janelle</a> et <a href=""#"">Gabrielle Lévesque</a> avons dû créer une dizaine de pages complètes incluant un panier d'achats, des formulaires de connexion et de paiements, des catalogues, etc. J'ai dû mettre en place les vérifications des champs dans les formulaires, les outils de filtrage et de recherche des livres et auteurs, ainsi que plusieurs requêtes <abbr title=""Structured Query Language"">SQL</abbr>.</p>";;"0";"51";"19"
"3";"Maquette de cheminement";"Office 365, Axure et Figma";"<p>Dans le cadre du cours de Conception Interactive II, nous avons été approchés par l'équipe des aides pédagogique pour faire le design d'un nouveau logiciel qu'ils pourraient utiliser avec les étudiants du cégep. J'ai pu faire l'arborescence, les diagrammes de cas d'utilisateurs, les recherches graphiques ainsi que des veilles technologiques pour me familiariser avec les technologies disponibles. Par la suite j'ai fait des esquisses fonctionnelles, des tests utilisateurs et basé sur les résultats de ceux-ci j'ai fait une maquette finale que j'ai présentée à l'équipe des aides pédagogique. J'ai aussi effectué des recherches et une estimation du coût pour le projet, ainsi que des solutions technologiques pour le faire réaliser.</p>";"https://www.figma.com/file/nvjqPISOJz9yLurk1V4cNg/gr1_gilbertd_maquette";"0";"51";"15"
"4";"La brûlerie TIM";"Figma";"<p>Notre mandat était de créer les maquettes d'un site web pour une brûlerie, autant en version mobile qu'en version table. Il a fallu travailler sur les agencements de couleurs, la répartition du contenu, une interface d'achat, un menu déroulant et tout le reste des éléments que vous pouvez voir dans les maquettes. C'est un projet dont je suis fier malgré sa simplicité.</p>";"https://www.figma.com/file/8NhQwvCV6WHZfeV2QFMr6F/gr1_gilbertd_maquettepreliminaire";"0";"51";"7"
"5";"Projet Hexword";"<abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Cascading Style Sheets"">CSS</abbr>, JavaScript";"<p>Ce site web a été réalisé dans le cadre d'un projet de deuxième année. Le but du projet ""hex#word"" est de créer un site web <span lang=""en"">mobile-first</span>, sans aucun <span lang=""en"">framework</span>, autour d'un mot choisi. Ce dernier doit pouvoir s'écrire avec des symboles hexadécimaux, car nous devons également utiliser la couleur que le code hexadécimal nous donne.</p>";"https://estellelay.fr/hexword/";"0";"56";"9"
"7";"Mystère sur Québec";"Figma";"<p>« Mystère sur Québec » est un site Web ludique qui invite les utilisateurs à résoudre une énigme portant sur les gens «célèbres» qui ont marqué, chacun à leur façon, l’histoire de la ville de Québec.</p> ";;"0";"47";"7"
"8";"La Pastèque";"<abbr title =""Structured Query Language"">MySQL</abbr>, <abbr title =""Hypertext Preprocessor"">Php</abbr>, <abbr title =""Hypertext Markup Language"">HTML</abbr>, <abbr title =""Cascading Style Sheet"">CSS</abbr>, <abbr title =""Model-View-Controller"">MVC </abbr>,<abbr title =""langage de programmation "">JavaScript</abbr>";"<p>Nous avons eu comme mandat de faire notre propre version du site <a href=""https://www.lapasteque.com/actualites"">lapasteque</a>. Le but de ce projet d'équipe était de renforcer nos connaissances en <abbr title =""Structured Query Language"">MySQL</abbr> tout en utilisant le modèle de conception <abbr title =""Model-View-Controller"">MVC </abbr> et explorer de nouvelle facette du <abbr title =""Hypertext Markup Language"">HTML</abbr>, <abbr title =""Cascading Style Sheet"">CSS</abbr>,<abbr title =""Hypertext Preprocessor"">Php</abbr> et <abbr title =""langage de programmation"">JavaScript</abbr></p>";;"0";"55";"23"
"9";"Animation pour Taktik football";"Adobe After Effect, Adobe Illustrator, Adobe Photoshop";"<p>Taktik est une application de coaching en football, disponible depuis début 2022. Pour se faire une place dans le milieu, la start-up souhaite avoir un spot publicitaire sous forme d'animation à diffuser sur les réseaux sociaux. La clientèle cible est les joueurs de football, plus précisément les coachs. La vidéo est destinée à apparaitre principalement sur Facebook en post commandité, c'est pour cela qu'elle ne doit pas dépasser le 1 minute pour garder l'attention de l'utilisateur.</p>";"https://vimeo.com/669866807";"0";"39";"24"
"10";"Roadtrip";"Figma, Illustrator";"<p>Nous avons eu comme mandat de réaliser les maquettes de table et mobile d’un site de réservation de <span lang=""en"">roadtrip</span>. Le public cible visé est surtout pour la majorité pour des personnes aimant l’aventure, mais aussi certains qui souhaitent tenter de nouvelles expériences. La conception de ces maquettes impliquait l’utilisation du logiciel Figma afin d’en apprendre les différentes fonctionnalités, mais aussi d’en apprendre un peu plus sur la façon de hiérarchiser le contenu d’un site.</p>";;"0";"36";"7"
"13";"Mon Agence web - PixelDRY";"<abbr title=""Hypertext Markup Language"">HTML</abbr>
<abbr title=""Cascading Style Sheets"">CSS</abbr>
JavaScript
WordPress";"<p>Vous êtes mandatés pour concevoir et réaliser le site Web de votre agence Web située à Québec. Le site francophone est programmé et intégré à l’aide du système de gestion de contenu (SGC) WordPress. Le projet est réalisé en équipe de trois ou quatre personnes. Ces équipes sont déjà formées par les professeur.e.s. Chaque membre de l’équipe choisit un mandat pour mener à terme le projet collectif. Tous les membres de l’équipe sont responsables de la gestion du projet.</p> 

<p>Projet effectuer avec <a href=""#"">Yves-Luc Bernier-Bourdages</a> et <a href=""#"">David Gilbert</a></p>";;"0";"47";"17"
"14";"Tukoné";"Figma";"<p>Ce prototype Figma a été créé dans le cadre d'un projet au cours de la première année : l'objectif était de créer une <span lang=""en"">start-up</span> et de réfléchir à tous ses aspects, avec un point de vue mercatique. Sur quel concept voulons-nous travailler ? Quel est le public cible pour notre projet ? Qu'en est-il de l'identité visuelle ? Il a ensuite fallu créer des maquettes pour illustrer nos idées et nos solutions.<br>Nous avons décidé de créer Tukoné, une application où vous pouvez trouver et partager les repas les moins chers autour de vous. Elle peut être particulièrement utile pour ceux qui ont des problèmes financiers et les étudiants.</p>";"https://www.figma.com/proto/n5vHAPCIgHQ4XENpSL8zZM/Tukon%C3%A9?node-id=1%3A2&scaling=scale-down&page-id=0%3A1&starting-point-node-id=1%3A2";"0";"56";"2"
"15";"Projet Lyrics";"<abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Cascading Style Sheets"">CSS</abbr>, JavaScript";"<p>Le projet Lyrics est un projet de première année : il consiste à réaliser un site web qui illustre au mieux les paroles d’une chanson attribuée au préalable. Son objectif est de transmettre le message de la chanson, son ambiance, son sens, à travers le design du site. Ce projet permet de travailler sur le fond, mais aussi sur la forme et la façon dont elle transmet elle aussi des informations.<br>Concernant les contraintes techniques, le site doit s’afficher correctement entre 1024 et 1920 pixels de large du navigateur, et être compatible sur les principaux navigateurs (Safari, Firefox, Chrome, Opéra, Edge). Le site doit contenir : les paroles de la chanson (élément central du site), une présentation de l’artiste, le message évoqué par ces paroles, une présentation de soi-même et du projet et les crédits pour les médias utilisés.</p>";"https://estellelay.fr/lyrics/";"0";"56";"4"
"16";"La Pastèque";"<abbr title=""Hypertext Preprocessor"">PHP</abbr>, <abbr  title =""Hypertext Markup Language"">HTML</abbr>, <abbr  title =""Syntactically Awesome Style Sheets"">Sass</abbr>, <abbr title =""Cascading Style Sheet"">CSS</abbr>, Axure, Figma, BladeOne et JavaScript";"<p>Pour ce projet, mon équipe était constituée de <a href=""#"">Anne-Marie Bourgault</a> et de <a href=""#"">Aubry Nobel</a>. Notre mandat était de créer notre propre version du site de la maison d’édition <a href=""https://www.lapasteque.com/""> La Pastèque </a>.</p><p>Le principe était d’utiliser le contenu déjà présent sur le site et de proposer une organisation différente. Le projet nous a permis de mettre en pratique nos connaissances et de réaliser un site web transactionnel avec la fonctionnalité de se connecter et se déconnecter tout en travaillant en <abbr  title =""Model View Controller"">MVC</abbr></p>
";;"0";"52";"19"
"17";"Bodyshop";"Adobe Illustrator, Figma";"<p>Lors de notre premier projet dans notre programme, nous devions réaliser un véhicule à l’aide du logiciel Illustrator. Le but de ce projet était de nous faire apprendre les notions de base de ce logiciel en nous faisant tracer un véhicule de notre choix et de faire 3 versions différentes de celui-ci.</p>";"https://www.figma.com/file/6A8sIumIjmbcFisZb6x90X/Untitled?node-id=0%3A1";"0";"52";"2"
"18";"La Pastèque";"<abbr title=""Cascading Style Sheets"">CSS</abbr>
<abbr title=""Hypertext Markup Language"">HTML</abbr>
<abbr title=""Modèle-Vue-Contrôleur"">MVC</abbr >
<abbr title=""Hypertext Preprocessor"">PHP</abbr>
PhpStorm
Figma
Axure";"<p>Nous avons eu comme mandat à concevoir un site Web transactionnel d’achat de livre pour la maison d’édition <a href=""http://lapasteque.com/"">La Pastèque</a>. Mon équipe était constitué de <a href=""#"">Pierre-Alexandre Hébert</a> et <a href=""#"">Aubry Nobel</a>. </p><p> Ce projet consistait à mettre en pratique la librairie BladeOne, la validation côté serveur avec le langage <abbr  title ="" Hypertext Preprocessor "">PHP </abbr> et le <abbr title=""Modèle-Vue-Contrôleur"">MVC</ abbr >.</p>";;"0";"48";"23"
"19";"Outil intégrateur";"Figma, Axure";"<p>Lors de notre cours d’Analyse et conception de projet, nous avions un véritable client. Notre mandat consistait à proposer une solution à une problématique. Dans mon cas, c’était une <abbr title=""Aide pédagogique individuel"">API</abbr> du cégep qui voulait mettre en place un outil pour aider les étudiants à trouver des astuces qui les aideront dans leur cheminement scolaire.</p>";"https://www.figma.com/file/kjyzRlqHVjYs1Co4Lp4ZT1/gr02_hebertPa_outilIntegrateur?node-id=0%3A1";"0";"52";"20"
"20";"Ta-atouas";"Figma,
Axure,
Illustrator,
Photoshop";"<p>Le mandat consistait à réaliser une application en réalité augmentée, Ta-atouas, qui permettait de prévisualiser un tatouage sur son corps.</p><p>Ce projet consistait à mettre en pratique notre créativité, notre analyse, notre gestion, nos techniques de design et la théorie de mise en page et du design <abbr title="" User experience "">UX</abbr>.</p>";"https://www.figma.com/file/gqjoNhGLYqF1It09HLygO1/gr02_BourgaultA_Taatouas?node-id=0%3A1";"0";"48";"15"
"21";"Outil intégrateur";"Figma,
Axure";"<p>Le mandat consistait à développer un outil d’intervention adapté aux étudiants, qui permet de cibler rapidement les besoins académiques de l’étudiant : concentration, organisation, études, attitude en classe, notes de cours et les examens.</p><p>Ce projet nous poussait à aller plus loin dans nos réflexions, à interroger de vrais utilisateurs (les étudiants) et communiquer et comprendre les besoins d’un vrai client.</p>";"Progression_Questionnaire (axshare.com)";"0";"48";"20"
"22";"Animation d’un logo";"Illustrator,
After Effects
";"<p>Le mandat consistait à réaliser une animation courte de type «Bumper» qui mettra en valeur le logo d’un organisme réel de votre choix, moi j’ai choisi le logo Android.</p> ";;"0";"48";"16"
"23";"La pastèque";"Axure 
Figma
<abbr title =""Hypertext Markup Language"">HTML</abbr>
<abbr title =""Cascade Style Sheet"">CSS</abbr>
<abbr title =""Syntactically Awesome Style Sheets"">Sass</abbr>
<abbr title =""HypertextPreprocessor"">PHP</abbr>
<abbr title =""Model-View-Controller"">MVC</abbr>
BladeOne. 
Javascript.";"<p> Nous avions à concevoir un site de vente de livres. Ce projet a été réalisé en collaboration avec <a href=""#"">Anne Marie Bourgault</a> et <a href=""#"">Pierre Alexandre Hébert</a>.
La clientèle cible recherchée est composée d’amoureux de l’objet et des amoureux du livre principalement. Le processus de conception était composé de la conception d’esquisses fonctionnelles avec Axure, de la conception de maquettes avec Figma, de l’intégration avec du <abbr title =""Hypertext Markup Language"">HTML</abbr> et du BladeOne et de la programmation avec <abbr title =""HypertextPreprocessor"">PHP</abbr> et du Javascript.
</p>
";;"0";"36";"19"
"24";"Maquette web pour Pagaie Québec";"Figma, Adobe Illustrator, Adobe Photoshop";"<p>Ce projet, réalisé dans le cadre du cours de design, consiste à la création d'une maquette pour la page ""activités"" du site Pagaie Québec. Il est demandé de l'adapter en version mobile, seul le texte est fournis mais la recherche de couleurs et d'illustrations reste à faire.</p>";;"0";"39";"15"
"25";"Festival OFF";"Avec FIGMA, Photoshop, <abbr title=""Hypertext Preprocessor"">HTML</abbr>, <abbr title=""Hypertext Preprocessor"">CSS</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, <abbr title=""Hypertext Preprocessor"">SQL</abbr>, JavaScript";"<p>Le Festival OFF de Québec est un festival indépendant de découvertes musicales qui se veut avant-gardiste, audacieux et diversifié. L’objectif du projet était donc de traduire cette perception dans le design du site web lors de la conception, en plus de nous fournir un contexte pour mettre en pratique nos nouvelles connaissances en PHP, SQL et jQuery.</p>

<p>Projet individuel, nous avons notamment eu à faire les tâches suivantes: schématisation de l’intégration, découpage des modules (blocs BEM), traitement et optimisation d’une grande quantité d’images et programmation PHP des requêtes nécessaires à l’affichage des informations d’une base de données MySQL.</p>";;"0";"57";"13"
"27";"Pagaie Québec";"Figma, Photoshop, Illustrator";"<p>Pagaie Québec est une plateforme Web qui souhaitait à l’origine offrir à la communauté québécoise des sports de pagaies une visibilité pour promouvoir ses produits et ses services. L’ensemble de la plateforme étant en développement graduel, à ce jour, une Boutique et une section Formation a été mise en ligne. Le Club Pagaie Québec s’est récemment ajouté au site.</p><p>Le site vise à devenir une référence incontournable pour l’utilisateur ou l’utilisatrice pratiquant un sport de pagaie : kayak d’eau vive, kayak de mer, canot, surf à pagaie, canot à glace, bateau-dragon, rafting.La plateforme Web est un lieu de promotion de services offerts par les formateurs ou formatrices des sports de pagaie. Les instructeurs ou instructrices travaillant en mode autonome peuvent présenter leurs formations ou leurs activités ponctuelles.</p>


";;"0";"57";"15"
"28";"La Pastèque";"<abbr title=""Asynchronous Javascript and XML"">Ajax</abbr>
<abbr title=""Cascading Style Sheets"">CSS</abbr>
<abbr title=""Hypertext Markup Language"">HTML</abbr>
<abbr title=""Modèle-Vue-Contrôleur"">MVC</abbr>
<abbr title=""Hypertext Preprocessor"">PHP</abbr>
<abbr title=""Structured Query Language"">SQL</abbr>";"<p>Le projet propose de réaliser une application de commerce électronique pour une maison d’édition spécialisée dans la bande dessinée et les albums jeunesse, les Éditions La Pastèque.</p><p>Projet effectuer avec <a href=""#"">Joséphine Audet</a> et <a href=""#"">Louis Pouliot</a></p>";;"0";"47";"19"
"29";"La Pastèque";"<abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Cascading Style Sheet"">CSS</abbr>, <abbr title=""Syntactically Awesome Style Sheet"">SASS</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, Blade, JavaScript et TypeScript.";"<p>Nous avons eu comme mandat de faire notre propre version du site Web de <a href=https://www.lapasteque.com>La Pastèque</a>. Nous devions refaire le site presque qu’au complet selon des récits qui nous ont été fournis et à l’aide des notions que nous avions appris jusqu’à présent. Ce projet nous a principalement amené à apprendre à réfléchir par nous-mêmes ainsi qu’à exploiter notre créativité.</p>";;"0";"50";"19"
"30";"Agence Web - CubeStudio";"<abbr title=""Cascading Style Sheets"">CSS</abbr>, <abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, Figma, Axure, PhpStorm. ";"<p>Dans le cadre du cours de réalisation de produits numérique interactifs, mes collèges et moi avons réalisé un site web pour notre propre agence web fictive. Le mandat consistait à présenté notre agence et ses réalisations. Nous devions incorporer des actualités, présenter les différentes réalisations de l'agence et faire des fiches de présentation pour chaque membre de l'équipe.</p>
<p>Projet d'équipe avec <a href='#'>Arianne Paquet</a>, <a href='#'>Anne-Marie Bourgault</a> et <a href='#'>Gabriel Lavoie</a>.
<br>Design des dessins par <a href='#'>Gabriel Lavoie</a></p>";;"0";"45";"17"
<br />
<b>Fatal error</b>:  Uncaught TypeError: PhpMyAdmin\Encoding::convertString(): Return value must be of type string, bool returned in /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Encoding.php:199
Stack trace:
#0 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Export.php(182): PhpMyAdmin\Encoding::convertString('utf-8', 'windows-1252', '&quot;31&quot;;&quot;La Past\xC3\xA8...')
#1 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Plugins/Export/ExportCsv.php(336): PhpMyAdmin\Export-&gt;outputHandler('&quot;31&quot;;&quot;La Past\xC3\xA8...')
#2 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Export.php(1117): PhpMyAdmin\Plugins\Export\ExportCsv-&gt;exportData('rpni4_timcsf_20...', 'projets', '\n', 'index.php?route...', 'SELECT `id`, `t...', Array)
#3 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Controllers/ExportController.php(613): PhpMyAdmin\Export-&gt;exportTable('rpni4_timcsf_20...', 'projets', 'data', Object(PhpMyAdmin\Plugins\Export\ExportExcel), '\n', 'index.php?route...', 'table', false, false, false, false, '1', '0', '0', '', Array)
#4 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Routing.php(186): PhpMyAdmin\Controllers\ExportController-&gt;index(Array)
#5 /Applications/MAMP/bin/phpMyAdmin5/index.php(19): PhpMyAdmin\Routing::callControllerForRoute('/export', Object(FastRoute\Dispatcher\GroupCountBased), Object(Symfony\Component\DependencyInjection\ContainerBuilder))
#6 {main}
  thrown in <b>/Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Encoding.php</b> on line <b>199</b><br />
